time,X00,X07,X30,X31,X34,X34_diff,X31_1,X31_2,X31_3,X31_4,X31_5,X31_6,X31_7,X31_8,X31_9,X31_10,X31_11,X31_12,X34_diff_1,X34_diff_2,X34_diff_3,X34_diff_4,X34_diff_5,X34_diff_6,X34_diff_7,X34_diff_8,X34_diff_9,X34_diff_10,X34_diff_11,X34_diff_12,X34_diff_13,X34_diff_14,X34_diff_15,X34_diff_16,X34_diff_17,X34_diff_18,X34_diff_19,X34_diff_20
10,-2.4490590380293464,-2.2523716924177797,0.6431297556504362,-2.3817561699833996,-1.015988196965355,0.0,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-2.4278144212330433,-2.2523716924177797,0.740697827746303,-2.3817561699833996,-1.015988196965355,0.0,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-2.4490590380293464,-2.275219665935825,0.8289737024997068,-2.3817561699833996,-1.015988196965355,0.0,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,-2.1100012005066606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-2.470303654825649,-2.275219665935825,0.8940190838969517,-2.3817561699833996,-1.015988196965355,0.0,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,-2.0918842025415443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-2.3428359540478323,-2.2523716924177797,0.9358339719380373,-2.4542241618438627,-1.015988196965355,0.0,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,-2.1462351964368924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-2.364080570844135,-2.2523716924177797,0.9776488599791234,-2.436107163878747,-1.015988196965355,0.0,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,-2.20058619033224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-2.321591337251529,-2.2523716924177797,0.9311878732668057,-2.4542241618438627,-1.015988196965355,0.0,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,-2.254937184227588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-2.3853251876404378,-2.275219665935825,0.9776488599791234,-2.508575155739211,-1.015988196965355,0.0,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,-2.2730541821927037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-2.3853251876404378,-2.275219665935825,0.8800807878832559,-2.508575155739211,-1.015988196965355,0.0,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,-2.3092881781229355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-2.4490590380293464,-2.29806763945387,0.9822949586503549,-2.508575155739211,-1.015988196965355,0.0,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,-2.3092881781229355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-2.4278144212330433,-2.2523716924177797,0.9869410573215871,-2.490458157774095,-1.015988196965355,0.0,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,-2.3274051760880514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-2.470303654825649,-2.2295237188997348,0.9822949586503549,-2.5266921537043268,-1.015988196965355,0.0,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3092881781229355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-2.5127928884182547,-2.2295237188997348,1.0891552280886854,-2.5629261496345586,-1.015988196965355,0.0,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-2.5127928884182547,-2.2295237188997348,1.1727850041708576,-2.5629261496345586,-1.015988196965355,0.0,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,-2.3817561699833996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-2.470303654825649,-2.2295237188997348,1.1960154975270165,-2.5991601455647904,-1.015988196965355,0.0,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,-2.3817561699833996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-2.491548271621952,-2.2295237188997348,1.200661596198248,-2.5448091516694427,-1.015988196965355,0.0,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,-2.3817561699833996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-2.491548271621952,-2.2295237188997348,1.200661596198248,-2.5991601455647904,-1.015988196965355,0.0,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,-2.4542241618438627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-2.470303654825649,-2.2295237188997348,1.2378303855681019,-2.5810431475996745,-1.015988196965355,0.0,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,-2.436107163878747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-2.4065698044367405,-2.2295237188997348,1.2378303855681019,-2.5810431475996745,-1.015988196965355,0.0,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,-2.4542241618438627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-2.4278144212330433,-2.2295237188997348,1.242476484239334,-2.5810431475996745,-1.015988196965355,0.0,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,-2.508575155739211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.491548271621952,-2.2295237188997348,1.2517686815817972,-2.6172771435299063,-1.015988196965355,0.0,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,-2.508575155739211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-2.491548271621952,-2.2523716924177797,1.2610608789242608,-2.5810431475996745,-1.015988196965355,0.0,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,-2.508575155739211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-2.5127928884182547,-2.2523716924177797,1.2610608789242608,-2.5810431475996745,-1.015988196965355,0.0,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,-2.490458157774095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-2.5127928884182547,-2.2295237188997348,1.302875766965347,-2.6172771435299063,-1.015988196965355,0.0008783078902894204,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,-2.5266921537043268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-2.5340375052145574,-2.2295237188997348,1.2935835696228832,-2.635394141495022,-1.0151098890750656,0.0017566157805788407,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,-2.5629261496345586,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-2.491548271621952,-2.183827771863645,1.288937470951652,-2.5810431475996745,-1.0133532732944868,0.002634923670868483,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,-2.5629261496345586,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-2.5127928884182547,-2.183827771863645,1.2842913722804197,-2.5629261496345586,-1.0107183496236183,0.004391539451447102,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,-2.5991601455647904,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-2.4278144212330433,-2.1609797983456,1.1960154975270165,-2.5448091516694427,-1.0063268101721712,0.0061481552320259425,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,-2.5448091516694427,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-2.3428359540478323,-2.11528385130951,1.1123857214448443,-2.5266921537043268,-1.0001786549401452,0.007904771012605005,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,-2.5991601455647904,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-2.2153682532700154,-2.06958790427342,0.9915871559928185,-2.490458157774095,-0.9922738839275402,0.009661386793183957,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.5810431475996745,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-2.045411318899593,-2.001043983719285,0.8289737024997068,-2.3817561699833996,-0.9826124971343563,0.011418002573762687,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-1.8966990013254732,-1.955348036683195,0.73140563040384,-2.236820186262472,-0.9711944945605936,0.013174618354341638,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,-2.5810431475996745,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-1.832965150936565,-1.8868041161290598,0.5548538808970324,-2.1100012005066606,-0.958019876206252,0.0158095420252099,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,-2.6172771435299063,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-1.7692313005476565,-1.863956142611015,0.4572858088011656,-2.037533208646197,-0.942210334181042,0.017566157805788962,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,-2.5810431475996745,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-1.7054974501587483,-1.8182601955749251,0.3875943287326891,-1.8744802269601535,-0.9246441763752531,0.01932277358636758,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,-2.5810431475996745,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-1.6205189829735371,-1.74971627502079,0.197104283212187,-1.7476612412043422,-0.9053214027888855,0.021079389366946533,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,-2.6172771435299063,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-1.5355405157883257,-1.7040203279847002,0.1785198885272597,-1.6389592534136463,-0.884242013421939,0.023714313037814905,-1.7476612412043422,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,-2.635394141495022,0.021079389366946533,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-1.4505620486031146,-1.61262843391252,-0.03520065034940123,-1.6027252574834145,-0.8605277003841241,0.025470928818393856,-1.6389592534136463,-1.7476612412043422,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,-2.5810431475996745,0.023714313037814905,0.021079389366946533,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0,0.0
48,-1.3655835814179031,-1.544084513358385,-0.22104459719867217,-1.4577892737624871,-0.8350567715657302,0.028105852489262118,-1.6027252574834145,-1.6389592534136463,-1.7476612412043422,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,-2.5629261496345586,0.025470928818393856,0.023714313037814905,0.021079389366946533,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0,0.0
49,-1.2593604974363892,-1.4983885663222951,-0.4951644188013462,-1.3309702880066758,-0.8069509190764681,0.029862468269840958,-1.4577892737624871,-1.6027252574834145,-1.6389592534136463,-1.7476612412043422,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,-2.5448091516694427,0.028105852489262118,0.025470928818393856,0.023714313037814905,0.021079389366946533,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0,0.0
50,-1.1531374134548753,-1.42984464576816,-0.6438395762807628,-1.1679173063206325,-0.7770884508066271,0.0316190840504198,-1.3309702880066758,-1.4577892737624871,-1.6027252574834145,-1.6389592534136463,-1.7476612412043422,-1.8744802269601535,-2.037533208646197,-2.1100012005066606,-2.236820186262472,-2.3817561699833996,-2.490458157774095,-2.5266921537043268,0.029862468269840958,0.028105852489262118,0.025470928818393856,0.023714313037814905,0.021079389366946533,0.01932277358636758,0.017566157805788962,0.0158095420252099,0.013174618354341638,0.011418002573762687,0.009661386793183957,0.007904771012605005,0.0061481552320259425,0.004391539451447102,0.002634923670868483,0.0017566157805788407,0.0008783078902894204,0.0,0.0,0.0
